GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.rest,CountryServiceBase,13,425,3,59,2,90,3,41,0,13
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.domain,BaseCountry,0,57,0,0,0,19,0,19,0,19
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.domain,ResponseEntity,6,9,0,0,2,4,2,1,2,1
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.servlet,NotFoundExceptionMapper,0,15,0,0,0,4,0,3,0,3
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.servlet,RestApplication,0,32,0,0,0,7,0,2,0,2
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.servlet,CORSFilter,30,0,0,0,9,0,4,0,4,0
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v1.domain,CountryTranslations,20,18,0,0,10,6,5,6,5,6
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v1.domain,Country,0,15,0,0,0,5,0,5,0,5
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v2.domain,Country,0,21,0,0,0,7,0,7,0,7
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v2.domain,Translations,0,18,0,0,0,6,0,6,0,6
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v2.domain,Contribution,0,21,0,0,0,4,0,4,0,4
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v2.domain,Currency,12,12,0,0,6,4,3,4,3,4
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v2.domain,RegionalBloc,0,31,0,4,0,9,0,7,0,5
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v2.domain,Language,16,15,0,0,8,5,4,5,4,5
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries,Application,0,8,0,0,0,3,0,2,0,2
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v2.rest,StripeRest,8,95,0,8,3,20,0,9,0,5
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v2.rest,CountryService,4,252,2,34,1,53,2,32,0,16
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v2.rest,CountryRestV2,94,631,6,52,28,107,6,46,0,23
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v2.rest,CountryService.InstanceHolder,0,6,0,0,0,1,0,1,0,1
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v1.rest,CountryRestV1,84,301,4,36,25,63,4,32,0,16
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v1.rest,CountryService,0,134,0,12,0,31,0,20,0,14
JaCoCo Maven plug-in example with Offline Instrumentation,eu.fayder.restcountries.v1.rest,CountryService.InstanceHolder,0,6,0,0,0,1,0,1,0,1
